Timestamp,ImageNum,Confidence,Threshold,Correct,Confident,Final Verdict
2025-04-08 14:36:48,1,0.24,0.48,True,False,unconfident
2025-04-08 14:36:52,2,0.74,0.52,True,True,correct
2025-04-08 14:36:54,3,1.86,0.73,False,True,wrong
2025-04-08 14:36:57,4,0.26,0.73,False,False,wrong
2025-04-08 14:37:00,5,3.35,1.15,True,True,correct
2025-04-08 14:37:00,1,0.67,1.17,False,False,wrong
2025-04-08 14:37:03,3,7.83,2.29,False,True,wrong
2025-04-08 14:37:07,4,0.39,2.30,True,False,unconfident
2025-04-08 14:37:09,1,3.26,2.48,False,True,wrong
2025-04-08 14:37:11,3,0.59,2.50,False,False,wrong
2025-04-08 14:37:23,4,0.40,2.51,False,False,wrong
2025-04-08 14:37:29,1,1.08,2.54,True,False,unconfident
2025-04-08 14:37:32,3,0.65,2.56,False,False,wrong
2025-04-08 14:37:35,4,3.40,2.74,False,True,wrong
2025-04-08 14:37:42,1,0.25,2.74,False,False,wrong
2025-04-08 14:37:46,3,3.69,2.94,True,True,correct
2025-04-08 14:38:10,4,0.75,2.94,True,False,unconfident
2025-04-08 14:38:12,1,0.53,2.93,False,False,wrong
2025-04-08 14:38:14,4,2.13,3.01,False,False,wrong
2025-04-08 14:38:20,1,0.59,3.01,False,False,wrong
2025-04-08 14:38:24,4,0.09,3.01,False,False,wrong
2025-04-08 14:58:34,1,0.24,0.56,True,False,unconfident
2025-04-08 14:58:37,1,0.18,0.56,True,False,unconfident
2025-04-08 14:58:37,1,0.43,0.56,True,False,unconfident
2025-04-08 14:58:38,1,0.43,0.57,True,False,unconfident
2025-04-08 14:58:38,1,0.40,0.58,True,False,unconfident
2025-04-08 14:58:38,1,0.40,0.58,True,False,unconfident
2025-04-08 14:58:38,1,0.40,0.59,True,False,unconfident
2025-04-08 14:58:38,1,0.06,0.59,True,False,unconfident
2025-04-08 14:58:39,1,0.06,0.59,True,False,unconfident
2025-04-08 14:58:42,1,0.19,0.59,True,False,unconfident
2025-04-08 14:58:43,1,0.20,0.59,True,False,unconfident
2025-04-08 14:58:43,1,0.20,0.57,True,False,unconfident
2025-04-08 14:58:43,1,0.20,0.56,True,False,unconfident
2025-04-08 14:58:43,1,0.31,0.50,True,False,unconfident
2025-04-08 14:58:44,1,0.40,0.44,False,False,wrong
2025-04-08 14:58:45,1,2.08,0.71,False,True,wrong
2025-04-08 14:58:45,1,2.08,0.91,False,True,wrong
2025-04-08 14:58:45,1,0.17,0.89,False,False,wrong
2025-04-08 14:58:46,1,0.25,0.86,False,False,wrong
2025-04-08 14:58:46,1,0.25,0.86,False,False,wrong
2025-04-08 15:09:24,1,0.05,0.71,True,False,unconfident
2025-04-08 15:10:31,2,1.71,0.86,False,True,wrong
2025-04-08 15:10:34,3,2.25,1.05,False,True,wrong
2025-04-08 15:10:37,4,0.65,1.06,False,False,wrong
2025-04-08 15:10:40,5,0.35,1.07,False,False,wrong
2025-04-08 15:10:45,1,1.09,1.11,True,False,unconfident
2025-04-08 15:10:53,2,0.18,1.12,False,False,wrong
2025-04-08 15:11:01,3,1.64,1.21,False,True,wrong
2025-04-08 15:11:04,4,0.03,1.21,False,False,wrong
2025-04-08 15:11:06,5,0.38,1.22,True,False,unconfident
2025-04-08 15:11:09,1,0.38,1.22,False,False,wrong
2025-04-08 15:11:14,2,0.60,1.23,False,False,wrong
